Store ID,Product ID,Date,Forecasted_Demand
S001,P0001,2024-01-02,126.77
S001,P0001,2024-01-03,139.74
S001,P0001,2024-01-04,144.41
S001,P0001,2024-01-05,144.15
S001,P0001,2024-01-06,134.46
S001,P0001,2024-01-07,141.7
S001,P0001,2024-01-08,121.04
S001,P0001,2024-01-09,127.07
S001,P0001,2024-01-10,140.16
S001,P0001,2024-01-11,145.12
S001,P0001,2024-01-12,144.94
S001,P0001,2024-01-13,136.43
S001,P0001,2024-01-14,146.39
S001,P0001,2024-01-15,122.62
S001,P0001,2024-01-16,127.88
S001,P0001,2024-01-17,139.49
S001,P0001,2024-01-18,145.72
S001,P0001,2024-01-19,144.47
S001,P0001,2024-01-20,136.92
S001,P0001,2024-01-21,146.18
S001,P0001,2024-01-22,122.98
S001,P0001,2024-01-23,127.64
S001,P0001,2024-01-24,139.7
S001,P0001,2024-01-25,145.55
S001,P0001,2024-01-26,144.62
S001,P0001,2024-01-27,136.79
S001,P0001,2024-01-28,146.29
S001,P0001,2024-01-29,122.89
S001,P0001,2024-01-30,127.72
S001,P0001,2024-01-31,139.63
S001,P0002,2024-01-02,131.46
S001,P0002,2024-01-03,129.69
S001,P0002,2024-01-04,122.07
S001,P0002,2024-01-05,120.06
S001,P0002,2024-01-06,104.46
S001,P0002,2024-01-07,127.24
S001,P0002,2024-01-08,130.15
S001,P0002,2024-01-09,128.95
S001,P0002,2024-01-10,127.19
S001,P0002,2024-01-11,120.14
S001,P0002,2024-01-12,119.33
S001,P0002,2024-01-13,104.46
S001,P0002,2024-01-14,125.08
S001,P0002,2024-01-15,129.59
S001,P0002,2024-01-16,129.0
S001,P0002,2024-01-17,127.23
S001,P0002,2024-01-18,120.17
S001,P0002,2024-01-19,119.34
S001,P0002,2024-01-20,104.46
S001,P0002,2024-01-21,125.12
S001,P0002,2024-01-22,129.6
S001,P0002,2024-01-23,128.99
S001,P0002,2024-01-24,127.23
S001,P0002,2024-01-25,120.17
S001,P0002,2024-01-26,119.34
S001,P0002,2024-01-27,104.46
S001,P0002,2024-01-28,125.12
S001,P0002,2024-01-29,129.6
S001,P0002,2024-01-30,128.99
S001,P0002,2024-01-31,127.23
S001,P0003,2024-01-02,137.67
S001,P0003,2024-01-03,147.7
S001,P0003,2024-01-04,141.2
S001,P0003,2024-01-05,135.64
S001,P0003,2024-01-06,152.46
S001,P0003,2024-01-07,146.31
S001,P0003,2024-01-08,129.38
S001,P0003,2024-01-09,138.29
S001,P0003,2024-01-10,147.85
S001,P0003,2024-01-11,141.7
S001,P0003,2024-01-12,135.5
S001,P0003,2024-01-13,152.0
S001,P0003,2024-01-14,146.41
S001,P0003,2024-01-15,129.32
S001,P0003,2024-01-16,138.11
S001,P0003,2024-01-17,147.73
S001,P0003,2024-01-18,141.91
S001,P0003,2024-01-19,135.54
S001,P0003,2024-01-20,151.78
S001,P0003,2024-01-21,146.46
S001,P0003,2024-01-22,129.52
S001,P0003,2024-01-23,137.99
S001,P0003,2024-01-24,147.58
S001,P0003,2024-01-25,142.08
S001,P0003,2024-01-26,135.63
S001,P0003,2024-01-27,151.58
S001,P0003,2024-01-28,146.44
S001,P0003,2024-01-29,129.72
S001,P0003,2024-01-30,137.94
S001,P0003,2024-01-31,147.4
S001,P0004,2024-01-02,152.71
S001,P0004,2024-01-03,124.61
S001,P0004,2024-01-04,142.26
S001,P0004,2024-01-05,157.18
S001,P0004,2024-01-06,151.33
S001,P0004,2024-01-07,129.45
S001,P0004,2024-01-08,109.57
S001,P0004,2024-01-09,149.52
S001,P0004,2024-01-10,145.81
S001,P0004,2024-01-11,152.96
S001,P0004,2024-01-12,150.03
S001,P0004,2024-01-13,142.03
S001,P0004,2024-01-14,131.92
S001,P0004,2024-01-15,115.81
S001,P0004,2024-01-16,149.8
S001,P0004,2024-01-17,143.99
S001,P0004,2024-01-18,152.04
S001,P0004,2024-01-19,150.64
S001,P0004,2024-01-20,142.83
S001,P0004,2024-01-21,131.71
S001,P0004,2024-01-22,115.27
S001,P0004,2024-01-23,149.77
S001,P0004,2024-01-24,144.14
S001,P0004,2024-01-25,152.12
S001,P0004,2024-01-26,150.59
S001,P0004,2024-01-27,142.76
S001,P0004,2024-01-28,131.73
S001,P0004,2024-01-29,115.32
S001,P0004,2024-01-30,149.77
S001,P0004,2024-01-31,144.13
S001,P0005,2024-01-02,101.72
S001,P0005,2024-01-03,130.49
S001,P0005,2024-01-04,128.38
S001,P0005,2024-01-05,141.65
S001,P0005,2024-01-06,131.48
S001,P0005,2024-01-07,145.88
S001,P0005,2024-01-08,134.15
S001,P0005,2024-01-09,113.08
S001,P0005,2024-01-10,140.32
S001,P0005,2024-01-11,121.08
S001,P0005,2024-01-12,146.16
S001,P0005,2024-01-13,130.66
S001,P0005,2024-01-14,144.76
S001,P0005,2024-01-15,136.06
S001,P0005,2024-01-16,112.92
S001,P0005,2024-01-17,140.18
S001,P0005,2024-01-18,121.18
S001,P0005,2024-01-19,146.1
S001,P0005,2024-01-20,130.67
S001,P0005,2024-01-21,144.78
S001,P0005,2024-01-22,136.03
S001,P0005,2024-01-23,112.92
S001,P0005,2024-01-24,140.19
S001,P0005,2024-01-25,121.18
S001,P0005,2024-01-26,146.1
S001,P0005,2024-01-27,130.67
S001,P0005,2024-01-28,144.78
S001,P0005,2024-01-29,136.03
S001,P0005,2024-01-30,112.92
S001,P0005,2024-01-31,140.19
S001,P0006,2024-01-02,138.11
S001,P0006,2024-01-03,129.42
S001,P0006,2024-01-04,129.87
S001,P0006,2024-01-05,137.96
S001,P0006,2024-01-06,146.08
S001,P0006,2024-01-07,112.13
S001,P0006,2024-01-08,131.69
S001,P0006,2024-01-09,137.69
S001,P0006,2024-01-10,125.62
S001,P0006,2024-01-11,130.78
S001,P0006,2024-01-12,135.16
S001,P0006,2024-01-13,147.54
S001,P0006,2024-01-14,109.86
S001,P0006,2024-01-15,133.37
S001,P0006,2024-01-16,135.67
S001,P0006,2024-01-17,127.36
S001,P0006,2024-01-18,128.91
S001,P0006,2024-01-19,136.89
S001,P0006,2024-01-20,145.78
S001,P0006,2024-01-21,111.55
S001,P0006,2024-01-22,131.69
S001,P0006,2024-01-23,137.3
S001,P0006,2024-01-24,125.75
S001,P0006,2024-01-25,130.48
S001,P0006,2024-01-26,135.34
S001,P0006,2024-01-27,147.29
S001,P0006,2024-01-28,110.06
S001,P0006,2024-01-29,133.15
S001,P0006,2024-01-30,135.87
S001,P0006,2024-01-31,127.15
S001,P0007,2024-01-02,119.88
